external_id,active,address,activation_date,number_arc,type_arc,district,carpet,lat,long,id,owner,operator
w3676,,"Большие Каменщики, 2",,1,,,,55.739391,37.65285,6800,whoosh,ultradop
w3677,,"Гончарная набережная, 3с3",,1,,,,55.738141,37.647998,6801,whoosh,ultradop
w3678,,"Гончарный проезд, 6с1Б",,1,,,,55.73845,37.649157,6802,whoosh,ultradop
w3679,,"улица Яузкая,2с1 через дорогу",,1,,,,55.830258,37.697871,6803,whoosh,ultradop
w3680,,Яузкая аллея,,1,,,,55.830642,37.690271,6804,whoosh,ultradop
w3681,,"Остановка НПГТ ""ЦНИИ туберкулёза""",,1,,,,55.830284,37.681409,6805,whoosh,ultradop
w3682,,"Остановка НПГТ ""Яузская аллея, 6""",,1,,,,55.830405,37.683919,6806,whoosh,ultradop
w3683,,"Яузская аллея, 6",,1,,,,55.8328,37.685028,6807,whoosh,ultradop
w3684,,Яузкая аллея,,1,,,,55.830046,37.673769,6808,whoosh,ultradop
w3685,,"улица Совхозная, 45/11",,1,,,,55.677377,37.762325,6809,whoosh,ultradop
w3686,,"Остановка НПГТ ""Филиал больницы имени Демихова""",,1,,,,55.641199,37.80373,6810,whoosh,ultradop
w3687,,"1-й Капоткинский проезд, 18",,1,,,,55.633719,37.798709,6811,whoosh,ultradop
w3688,,"3-й квартал, 13",,1,,,,55.635559,37.795565,6812,whoosh,ultradop
w3689,,"улица Ивана Гераськина, 24 через дорогу",,1,,,,55.630583,37.800721,6813,whoosh,ultradop
w3690,,"улица Кирпичная, 3",,1,,,,55.778193,37.722621,6814,whoosh,ultradop
w3691,,"проспект Будённого, 19",,1,,,,55.773125,37.726035,6815,whoosh,ultradop
w3692,,"проспект Будённого, 19",,1,,,,55.772691,37.726161,6816,whoosh,ultradop
w3693,,"проспект Будённого, 23",,1,,,,55.771034,37.728128,6817,whoosh,ultradop
